Opportunity_id,date,open,high,low,close,is_last_candle_of_found_pattern,is_buy_opportunity,is_sell_opportunity,succeeded,date_Buy,return_Buy,date_Sell,return_Sell,market,model,pair_name,entry_period,min_points,tolerance_points,profit_ratio,chosen_candle_date,chosen_candle_open,chosen_candle_high,chosen_candle_low,chosen_candle_close
Opportunity-25,2020-11-12,1.17771,1.18232,1.17586,1.18029,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-13,1.18029,1.18375,1.17995,1.18347,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-23,1.18505,1.19061,1.18,1.18393,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-24,1.18393,1.18963,1.18333,1.18898,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-25,1.18898,1.19297,1.18819,1.19118,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-26,1.19118,1.1941,1.18853,1.19123,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-27,1.19123,1.19639,1.19067,1.19624,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-11-30,1.19605,1.20033,1.19227,1.19232,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-12-09,1.21012,1.21474,1.20586,1.20783,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-25,2020-12-10,1.20783,1.2159,1.20734,1.21339,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-11-26,1.19118,1.1941,1.18853,1.19123,1,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-11-27,1.19123,1.19639,1.19067,1.19624,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-11-30,1.19605,1.20033,1.19227,1.19232,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-12-09,1.21012,1.21474,1.20586,1.20783,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-12-10,1.20783,1.2159,1.20734,1.21339,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-12-11,1.21339,1.2163,1.21054,1.21097,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-12-14,1.2135,1.21768,1.21157,1.21431,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-12-15,1.21431,1.21689,1.21216,1.21501,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-26,2020-12-22,1.22408,1.22572,1.21523,1.2161,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-27,2021-08-18,1.17083,1.17428,1.16936,1.17088,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-27,2021-08-20,1.16743,1.17045,1.16639,1.16995,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-28,2023-06-05,1.0711,1.07224,1.06745,1.07121,1,0,0,1,,,,,,,,,,,,,,,,
Opportunity-28,2023-06-06,1.07121,1.07328,1.06668,1.06925,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-28,2023-06-07,1.06925,1.07396,1.06682,1.06984,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-28,2023-06-12,1.0746,1.07901,1.0733,1.07564,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-28,2023-06-13,1.07564,1.08235,1.07529,1.07929,0,1,0,1,,,,,,,,,,,,,,,,
